N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
162,한미반도체,"34,350","1,050",+3.15%,200,"16,989","49,460",5.82,"430,768",16.39,34.59,
163,LIG넥스원,"76,600",100,-0.13%,"5,000","16,852","22,000",7.66,"350,445",16.04,14.63,
164,현대위아,"61,200",500,-0.81%,"5,000","16,643","27,195",6.93,"80,543",26.70,1.96,
165,KODEX 삼성그룹,"8,965",20,+0.22%,0,"16,540","184,500",0.13,"225,285",N/A,N/A,
166,LS,"51,300","1,200",-2.29%,"5,000","16,519","32,200",13.49,"68,717",5.95,8.15,
167,동국제강,"17,250",650,-3.63%,"5,000","16,462","95,433",22.44,"1,060,969",2.99,23.41,
168,오뚜기,"446,000","5,000",+1.13%,"5,000","16,377","3,672",11.64,"3,395",12.65,8.91,
169,JB금융지주,"8,310",80,-0.95%,"5,000","16,369","196,983",41.89,"270,709",3.43,10.06,
170,코오롱인더,"59,200",900,-1.50%,"5,000","16,291","27,519",20.36,"100,086",9.34,8.20,
171,동원시스템즈,"55,000",0,0.00%,"5,000","16,054","29,188",13.07,"21,607",36.94,6.95,
172,일진하이솔루스,"43,600","1,100",+2.59%,500,"15,833","36,313",1.30,"285,544",153.52,4.97,
173,롯데렌탈,"43,200",200,+0.47%,"5,000","15,826","36,634",1.96,"230,800",11.72,12.28,
174,KODEX 단기채권,"103,335",0,0.00%,0,"15,826","15,315",0.00,"18,412",N/A,N/A,
175,DGB금융지주,"9,300",20,+0.22%,"5,000","15,731","169,146",49.97,"466,721",3.32,6.93,
176,아시아나항공,"20,950",300,-1.41%,"5,000","15,589","74,412",7.19,"452,279",-3.60,-43.83,
177,현대엘리베이,"37,850",450,-1.17%,"5,000","15,449","40,815",30.33,"108,784",13.66,10.62,
178,롯데칠성,"165,500","3,500",-2.07%,500,"15,357","9,279",9.92,"33,494",12.09,9.96,
179,TIGER 미국S&P500,"13,900",165,+1.20%,0,"15,200","109,350",0.11,"1,059,006",N/A,N/A,
180,케이카,"30,950",100,-0.32%,500,"14,883","48,087",17.57,"241,987",51.41,15.11,
181,ESR켄달스퀘어리츠,"6,820",20,+0.29%,"1,000","14,533","213,089",53.79,"192,268",52.87,1.34,
182,KODEX MSCI Korea TR,"11,685",50,-0.43%,0,"14,431","123,500",4.61,"680,380",N/A,N/A,
183,대덕전자,"29,200",100,+0.34%,500,"14,430","49,417",15.53,"1,008,106",23.86,9.55,
184,티와이홀딩스,"28,150",100,+0.36%,500,"14,337","50,929",5.75,"23,591",8.07,11.58,
